# scope over the work-directing documents -- BASE 8dd0442 -- the tool as it shipped
# tool   examples/validation/scorecards/.ss04_base_tool.py
# python Python 3.14.6 (/opt/homebrew/opt/python@3.14/bin/python3.14)
# root   /Users/hayde/IdeaProjects/wt-epic-stabilize-substrate-SS-04
# HEAD   2933549ad6f38a916ede4fc26ea8753ea04cb3bc
# dirty  YES
# list   /Users/hayde/IdeaProjects/wt-epic-stabilize-substrate-SS-04/specs/results/scorecards/stabilize-substrate/SS-04/work-directing-documents.txt

STABILIZE-SUBSTRATE-EPIC.md                                                    exit 0  0 counted figure(s): 0 REFUTED, 0 COUNT-MOVED, 0 HOLDS, 0 UNREACHABLE
CUT-THE-APPARATUS-EPIC.md                                                      exit 0  0 counted figure(s): 0 REFUTED, 0 COUNT-MOVED, 0 HOLDS, 0 UNREACHABLE
NEXT-EPIC.md                                                                   exit 1  3 counted figure(s): 3 REFUTED, 0 COUNT-MOVED, 0 HOLDS, 0 UNREACHABLE
specs/desired_program_model/ticket_plan.yaml                                   exit 0  0 counted figure(s): 0 REFUTED, 0 COUNT-MOVED, 0 HOLDS, 0 UNREACHABLE
specs/results/scorecards/stabilize-substrate/GOAL-four-results-still-stand/baseline.md exit 0  0 counted figure(s): 0 REFUTED, 0 COUNT-MOVED, 0 HOLDS, 0 UNREACHABLE
specs/results/scorecards/cut-the-apparatus/CA-02/PRICE-TABLE.md                exit 0  0 counted figure(s): 0 REFUTED, 0 COUNT-MOVED, 0 HOLDS, 0 UNREACHABLE
specs/results/scorecards/stabilize-substrate/GOAL-counted-figures-reach-the-record/baseline.md exit 0  0 counted figure(s): 0 REFUTED, 0 COUNT-MOVED, 0 HOLDS, 0 UNREACHABLE
specs/results/scorecards/stabilize-substrate/GOAL-tree-stabilizes/baseline.md  exit 0  0 counted figure(s): 0 REFUTED, 0 COUNT-MOVED, 0 HOLDS, 0 UNREACHABLE
specs/results/scorecards/stabilize-substrate/GOAL-absent-input-consumed/baseline.md exit 0  0 counted figure(s): 0 REFUTED, 0 COUNT-MOVED, 0 HOLDS, 0 UNREACHABLE
specs/results/scorecards/stabilize-substrate/GOAL-judged-goals-compliant/baseline.md exit 0  0 counted figure(s): 0 REFUTED, 0 COUNT-MOVED, 0 HOLDS, 0 UNREACHABLE

TOTAL counted figures over the list: 3
