Source table	Source row	Surface/site/trigger	Verdict	Disposition gap ID
program-surface-table.tsv	74	examples/effect_providers/atomic_publisher/application.py	partial	CA-01
program-surface-table.tsv	74	examples/effect_providers/atomic_publisher/application.py	partial	CA-02
program-surface-table.tsv	74	examples/effect_providers/atomic_publisher/application.py	partial	CA-04
program-surface-table.tsv	75	examples/effect_providers/atomic_publisher/atomic_cli.py	partial	CA-03
program-surface-table.tsv	113	examples/effect_providers/legacy_payment_http/legacy_payment_http_app/__init__.py	unrepresented	CH-01
program-surface-table.tsv	114	examples/effect_providers/legacy_payment_http/legacy_payment_http_app/__main__.py	partial	CH-01
program-surface-table.tsv	115	examples/effect_providers/legacy_payment_http/legacy_payment_http_app/application.py	partial	CH-02
program-surface-table.tsv	115	examples/effect_providers/legacy_payment_http/legacy_payment_http_app/application.py	partial	CH-03
program-surface-table.tsv	115	examples/effect_providers/legacy_payment_http/legacy_payment_http_app/application.py	partial	CH-04
program-surface-table.tsv	139	examples/effect_providers/reminder_worker/app.py	partial	CR-01
program-surface-table.tsv	139	examples/effect_providers/reminder_worker/app.py	partial	CR-02
program-surface-table.tsv	139	examples/effect_providers/reminder_worker/app.py	partial	CR-04
program-surface-table.tsv	161	examples/effect_providers/reminder_worker/reminder_cli.py	partial	CR-03
effect-environment-table.tsv	76	examples/effect_providers/atomic_publisher/atomic_cli.py:16	undeclared	CA-03
effect-environment-table.tsv	93	examples/effect_providers/legacy_payment_http/legacy_payment_http_app/__main__.py:15	undeclared	CH-01
effect-environment-table.tsv	123	examples/effect_providers/reminder_worker/reminder_cli.py:170	undeclared	CR-03
effect-filesystem-table.tsv	236	examples/effect_providers/atomic_publisher/atomic_cli.py:19	undeclared	CA-03
effect-filesystem-table.tsv	237	examples/effect_providers/atomic_publisher/atomic_cli.py:24	undeclared	CA-03
effect-filesystem-table.tsv	421	examples/effect_providers/reminder_worker/reminder_cli.py:33	undeclared	CR-03
effect-filesystem-table.tsv	422	examples/effect_providers/reminder_worker/reminder_cli.py:52	undeclared	CR-03
effect-filesystem-table.tsv	425	examples/effect_providers/reminder_worker/reminder_cli.py:186	undeclared	CR-03
effect-network-table.tsv	32	examples/effect_providers/legacy_payment_http/legacy_payment_http_app/application.py:58	partial	CH-02
effect-network-table.tsv	33	examples/effect_providers/legacy_payment_http/legacy_payment_http_app/application.py:69	partial	CH-02
effect-network-table.tsv	35	examples/effect_providers/legacy_payment_http/legacy_payment_http_app/application.py:80	partial	CH-02
effect-persistent_store-table.tsv	182	examples/effect_providers/reminder_worker/reminder_cli.py:73	partial	CR-03
effect-persistent_store-table.tsv	188	examples/effect_providers/reminder_worker/reminder_cli.py:88	partial	CR-03
effect-persistent_store-table.tsv	190	examples/effect_providers/reminder_worker/reminder_cli.py:91	partial	CR-03
effect-persistent_store-table.tsv	192	examples/effect_providers/reminder_worker/reminder_cli.py:94	partial	CR-03
effect-persistent_store-table.tsv	195	examples/effect_providers/reminder_worker/reminder_cli.py:105	partial	CR-03
effect-persistent_store-table.tsv	199	examples/effect_providers/reminder_worker/reminder_cli.py:118	partial	CR-03
effect-persistent_store-table.tsv	202	examples/effect_providers/reminder_worker/reminder_cli.py:125	partial	CR-03
effect-stdio-table.tsv	284	examples/effect_providers/legacy_payment_http/legacy_payment_http_app/__main__.py:22	undeclared	CH-01
behavior-config-table.tsv	163	examples/effect_providers/atomic_publisher/application.py:64	partial	CA-04
behavior-config-table.tsv	164	examples/effect_providers/atomic_publisher/application.py:65	partial	CA-04
behavior-config-table.tsv	166	examples/effect_providers/atomic_publisher/atomic_cli.py:3	partial	CA-03
behavior-config-table.tsv	167	examples/effect_providers/atomic_publisher/atomic_cli.py:12	partial	CA-03
behavior-config-table.tsv	168	examples/effect_providers/atomic_publisher/atomic_cli.py:14	partial	CA-03
behavior-config-table.tsv	169	examples/effect_providers/atomic_publisher/atomic_cli.py:16	partial	CA-03
behavior-config-table.tsv	170	examples/effect_providers/atomic_publisher/atomic_cli.py:17	partial	CA-03
